순위,팀,경기,승,무,패,승률,게임차,연속
1,KIA,144,87,2,55,0.613,0.0,2승
2,삼성,144,78,2,64,0.549,9.0,1패
3,LG,144,76,2,66,0.535,11.0,2승
4,두산,144,74,2,68,0.521,13.0,4승
5,KT,144,72,2,70,0.507,15.0,3승
6,SSG,144,72,2,70,0.507,15.0,4승
7,롯데,144,66,4,74,0.471,20.0,1승
8,한화,144,66,2,76,0.465,21.0,2패
9,NC,144,61,2,81,0.430,26.0,2패
10,키움,144,58,0,86,0.403,30.0,5패
