순위,팀,경기,승,무,패,승률,게임차,연속
1,LG,144,85,3,56,0.603,0.0,3패
2,한화,144,83,4,57,0.593,1.5,1패
3,SSG,144,75,4,65,0.536,9.5,2패
4,삼성,144,74,2,68,0.521,11.5,1패
5,NC,144,71,6,67,0.514,12.5,9승
6,KT,144,71,5,68,0.511,13.0,1승
7,롯데,144,66,6,72,0.478,17.5,3패
8,KIA,144,65,4,75,0.464,19.5,2승
9,두산,144,61,6,77,0.442,22.5,2승
10,키움,144,47,4,93,0.336,37.5,5패
