순위,팀,이닝,피안타,피홈런,실점,자책,사사구,탈삼진,평균자책,실책,WHIP,QS,홀드,세이브
1,KIA,1288,1365,141,759,629,624,1125,4.40,146,1.48,40,89,44
2,LG,1277,1375,126,728,657,609,1082,4.63,102,1.49,58,65,34
3,삼성,1282 2/3,1384,164,719,667,558,980,4.68,81,1.45,47,116,41
4,두산,1283 2/3,1332,135,748,688,677,1083,4.82,84,1.49,42,87,41
5,한화,1274 2/3,1437,128,780,706,587,1130,4.98,105,1.53,45,68,26
6,NC,1275 2/3,1389,137,801,708,598,1061,5.00,108,1.51,54,65,22
7,롯데,1280 2/3,1442,139,791,719,598,1131,5.05,123,1.53,57,58,30
8,KT,1284 1/3,1448,155,804,729,508,1118,5.11,116,1.47,48,50,28
9,키움,1272 2/3,1416,150,796,729,585,921,5.16,104,1.50,57,48,23
10,SSG,1269 2/3,1341,163,814,740,704,1195,5.25,119,1.55,40,80,33
