순위,팀,타수,안타,2루타,3루타,홈런,타점,득점,도루,사사구,삼진,병살,타율,출루율,장타율,OPS
1,KIA,5124,1542,266,28,163,812,858,125,588,915,119,0.301,0.369,0.459,0.829
2,롯데,5110,1454,285,41,125,757,802,105,562,1079,100,0.285,0.352,0.430,0.782
3,LG,4919,1394,238,29,115,765,808,171,687,969,98,0.283,0.366,0.414,0.780
4,KT,5072,1413,234,16,145,722,767,61,629,1123,112,0.279,0.355,0.417,0.772
5,두산,4975,1375,243,21,150,743,789,184,591,1077,100,0.276,0.350,0.424,0.774
6,NC,5009,1371,226,15,172,737,773,104,641,1200,100,0.274,0.353,0.428,0.780
7,SSG,5001,1367,239,20,152,724,756,149,547,1095,85,0.273,0.342,0.420,0.762
8,한화,5005,1351,224,18,127,698,745,69,615,1077,109,0.270,0.347,0.398,0.745
9,삼성,4975,1336,204,17,185,734,770,113,618,1150,94,0.269,0.346,0.428,0.774
10,키움,5015,1326,222,24,104,641,672,71,570,1141,96,0.264,0.337,0.380,0.717
