순위,팀,타수,안타,2루타,3루타,홈런,타점,득점,도루,사사구,삼진,병살,타율,출루율,장타율,OPS
1,LG,4919,1366,219,19,130,732,788,121,672,975,99,0.278,0.361,0.409,0.770
2,삼성,4899,1330,241,18,161,728,775,98,650,1087,106,0.271,0.353,0.427,0.780
3,롯데,4944,1318,242,26,75,629,676,91,621,1030,123,0.267,0.346,0.372,0.717
4,한화,4892,1303,250,16,116,643,689,101,529,1038,109,0.266,0.335,0.395,0.730
5,두산,4952,1298,232,31,102,592,647,144,534,1169,87,0.262,0.331,0.383,0.715
6,NC,4816,1254,221,31,128,685,732,186,640,1090,83,0.260,0.344,0.399,0.743
7,KIA,4944,1276,232,16,144,624,668,77,593,1211,96,0.258,0.335,0.399,0.734
8,SSG,4875,1249,175,14,127,578,609,129,553,1159,90,0.256,0.330,0.376,0.706
9,KT,4845,1228,214,17,104,613,648,48,635,1044,108,0.253,0.337,0.369,0.706
10,키움,4935,1202,217,20,104,540,581,83,502,1221,102,0.244,0.312,0.359,0.670
