순위,팀,이닝,피안타,피홈런,실점,자책,사사구,탈삼진,평균자책,실책,WHIP,QS,홀드,세이브
1,두산,771 2/3,769,64,380,334,353,720,3.90,63,1.39,40,34,19
2,삼성,755,737,81,378,345,366,617,4.11,51,1.39,36,50,25
3,KIA,761 2/3,748,80,402,362,368,612,4.28,58,1.41,29,52,15
4,롯데,757 2/3,778,73,418,371,363,685,4.41,61,1.45,39,40,19
5,LG,750 1/3,802,71,399,374,328,565,4.49,61,1.45,26,65,37
6,한화,730 2/3,761,66,414,365,387,594,4.50,65,1.49,26,44,13
7,NC,719 2/3,684,82,417,364,385,660,4.55,58,1.42,27,42,14
8,KT,739 1/3,821,69,419,388,305,629,4.72,57,1.47,34,35,18
9,키움,763 2/3,839,74,463,428,359,657,5.04,59,1.51,21,39,19
10,SSG,753 1/3,829,97,540,489,459,642,5.84,64,1.63,10,34,12
